frame_index,frame_time,transformed_gaze_x,transformed_gaze_y
0,0.0,nan,nan
1,0.132,nan,nan
2,0.263,nan,nan
3,0.395,nan,nan
4,0.527,nan,nan
5,0.659,nan,nan
6,0.79,nan,nan
7,0.922,nan,nan
8,1.054,nan,nan
9,1.186,nan,nan
10,1.317,nan,nan
11,1.449,nan,nan
12,1.581,nan,nan
13,1.713,nan,nan
14,1.844,nan,nan
15,1.976,nan,nan
16,2.108,nan,nan
17,2.24,nan,nan
18,2.371,nan,nan
19,2.503,nan,nan
20,2.635,nan,nan
21,2.767,nan,nan
22,2.898,nan,nan
23,3.03,nan,nan
24,3.162,nan,nan
25,3.294,nan,nan
26,3.425,nan,nan
27,3.557,nan,nan
28,3.689,nan,nan
29,3.821,nan,nan
30,3.952,nan,nan
31,4.084,nan,nan
32,4.216,nan,nan
33,4.348,nan,nan
34,4.479,nan,nan
35,4.611,nan,nan
36,4.743,nan,nan
37,4.875,nan,nan
38,5.006,nan,nan
39,5.138,nan,nan
40,5.27,nan,nan
41,5.402,nan,nan
42,5.533,nan,nan
43,5.665,nan,nan
44,5.797,nan,nan
45,5.928,nan,nan
46,6.06,nan,nan
47,6.192,nan,nan
48,6.324,nan,nan
49,6.455,nan,nan
50,6.587,nan,nan
51,6.719,nan,nan
52,6.851,nan,nan
53,6.982,nan,nan
54,7.114,nan,nan
55,7.246,nan,nan
56,7.378,nan,nan
57,7.509,nan,nan
58,7.641,nan,nan
59,7.773,nan,nan
60,7.905,nan,nan
61,8.036,nan,nan
62,8.168,nan,nan
63,8.3,nan,nan
64,8.432,nan,nan
65,8.563,nan,nan
66,8.695,nan,nan
67,8.827,nan,nan
68,8.959,nan,nan
69,9.09,nan,nan
70,9.222,nan,nan
71,9.354,nan,nan
72,9.486,nan,nan
73,9.617,nan,nan
74,9.749,nan,nan
75,9.881,nan,nan
76,10.013,nan,nan
77,10.144,nan,nan
78,10.276,nan,nan
79,10.408,nan,nan
80,10.54,nan,nan
81,10.671,nan,nan
82,10.803,nan,nan
83,10.935,nan,nan
84,11.067,nan,nan
85,11.198,nan,nan
86,11.33,nan,nan
87,11.462,nan,nan
88,11.594,nan,nan
89,11.725,nan,nan
90,11.857,nan,nan
91,11.989,nan,nan
92,12.12,nan,nan
93,12.252,nan,nan
94,12.384,nan,nan
95,12.516,nan,nan
96,12.647,nan,nan
97,12.779,nan,nan
98,12.911,nan,nan
99,13.043,nan,nan
100,13.174,nan,nan
101,13.306,nan,nan
102,13.438,nan,nan
103,13.57,nan,nan
104,13.701,nan,nan
105,13.833,nan,nan
106,13.965,nan,nan
107,14.097,nan,nan
108,14.228,nan,nan
109,14.36,nan,nan
110,14.492,nan,nan
111,14.624,nan,nan
112,14.755,nan,nan
113,14.887,nan,nan
114,15.019,nan,nan
115,15.151,nan,nan
116,15.282,nan,nan
117,15.414,nan,nan
118,15.546,nan,nan
119,15.678,nan,nan
120,15.809,nan,nan
121,15.941,nan,nan
122,16.073,nan,nan
123,16.205,nan,nan
124,16.336,nan,nan
125,16.468,nan,nan
126,16.6,nan,nan
127,16.732,nan,nan
128,16.863,nan,nan
129,16.995,nan,nan
130,17.127,nan,nan
131,17.259,nan,nan
132,17.39,nan,nan
133,17.522,nan,nan
134,17.654,nan,nan
135,17.785,nan,nan
136,17.917,nan,nan
137,18.049,nan,nan
138,18.181,nan,nan
139,18.312,nan,nan
140,18.444,nan,nan
141,18.576,nan,nan
142,18.708,nan,nan
143,18.839,nan,nan
144,18.971,nan,nan
145,19.103,nan,nan
146,19.235,nan,nan
147,19.366,nan,nan
148,19.498,nan,nan
149,19.63,nan,nan
150,19.762,nan,nan
151,19.893,nan,nan
152,20.025,nan,nan
153,20.157,nan,nan
154,20.289,nan,nan
155,20.42,nan,nan
156,20.552,nan,nan
157,20.684,nan,nan
158,20.816,nan,nan
159,20.947,nan,nan
160,21.079,nan,nan
161,21.211,nan,nan
162,21.343,nan,nan
163,21.474,nan,nan
164,21.606,nan,nan
165,21.738,nan,nan
166,21.87,nan,nan
167,22.001,nan,nan
168,22.133,nan,nan
169,22.265,nan,nan
170,22.397,nan,nan
171,22.528,nan,nan
172,22.66,nan,nan
173,22.792,nan,nan
174,22.924,nan,nan
175,23.055,nan,nan
176,23.187,nan,nan
177,23.319,nan,nan
178,23.451,nan,nan
179,23.582,nan,nan
180,23.714,nan,nan
181,23.846,nan,nan
182,23.977,nan,nan
183,24.109,nan,nan
184,24.241,nan,nan
185,24.373,nan,nan
186,24.504,nan,nan
187,24.636,nan,nan
188,24.768,nan,nan
189,24.9,nan,nan
190,25.031,nan,nan
191,25.163,nan,nan
192,25.295,nan,nan
193,25.427,nan,nan
194,25.558,nan,nan
195,25.69,nan,nan
196,25.822,nan,nan
197,25.954,nan,nan
198,26.085,nan,nan
199,26.217,nan,nan
200,26.349,nan,nan
201,26.481,nan,nan
202,26.612,nan,nan
203,26.744,nan,nan
204,26.876,nan,nan
205,27.008,nan,nan
206,27.139,nan,nan
207,27.271,nan,nan
208,27.403,nan,nan
209,27.535,nan,nan
210,27.666,nan,nan
211,27.798,nan,nan
212,27.93,nan,nan
213,28.062,nan,nan
214,28.193,nan,nan
215,28.325,nan,nan
216,28.457,nan,nan
217,28.589,nan,nan
218,28.72,nan,nan
219,28.852,nan,nan
220,28.984,nan,nan
221,29.116,nan,nan
222,29.247,nan,nan
223,29.379,nan,nan
224,29.511,nan,nan
225,29.642,nan,nan
226,29.774,nan,nan
227,29.906,nan,nan
228,30.038,nan,nan
229,30.169,nan,nan
230,30.301,nan,nan
231,30.433,nan,nan
232,30.565,nan,nan
233,30.696,nan,nan
234,30.828,nan,nan
235,30.96,nan,nan
236,31.092,nan,nan
237,31.223,nan,nan
238,31.355,nan,nan
239,31.487,nan,nan
240,31.619,nan,nan
241,31.75,nan,nan
242,31.882,nan,nan
243,32.014,nan,nan
244,32.146,nan,nan
245,32.277,nan,nan
246,32.409,nan,nan
247,32.541,nan,nan
248,32.673,nan,nan
249,32.804,nan,nan
250,32.936,nan,nan
251,33.068,nan,nan
252,33.2,nan,nan
253,33.331,nan,nan
254,33.463,nan,nan
255,33.595,nan,nan
256,33.727,nan,nan
257,33.858,nan,nan
258,33.99,nan,nan
259,34.122,nan,nan
260,34.254,nan,nan
261,34.385,nan,nan
262,34.517,nan,nan
263,34.649,nan,nan
264,34.781,nan,nan
265,34.912,nan,nan
266,35.044,nan,nan
267,35.176,nan,nan
268,35.308,nan,nan
269,35.439,nan,nan
270,35.571,nan,nan
271,35.703,nan,nan
272,35.834,nan,nan
273,35.966,nan,nan
274,36.098,nan,nan
275,36.23,nan,nan
276,36.361,nan,nan
277,36.493,nan,nan
278,36.625,nan,nan
279,36.757,nan,nan
280,36.888,nan,nan
281,37.02,nan,nan
282,37.152,nan,nan
283,37.284,nan,nan
284,37.415,nan,nan
285,37.547,nan,nan
286,37.679,nan,nan
287,37.811,nan,nan
288,37.942,nan,nan
289,38.074,nan,nan
290,38.206,nan,nan
291,38.338,nan,nan
292,38.469,nan,nan
293,38.601,nan,nan
294,38.733,nan,nan
295,38.865,nan,nan
296,38.996,nan,nan
297,39.128,nan,nan
298,39.26,nan,nan
299,39.392,nan,nan
300,39.523,nan,nan
301,39.655,nan,nan
302,39.787,nan,nan
303,39.919,nan,nan
304,40.05,nan,nan
305,40.182,nan,nan
306,40.314,nan,nan
307,40.446,nan,nan
308,40.577,nan,nan
309,40.709,nan,nan
310,40.841,nan,nan
311,40.973,nan,nan
312,41.104,nan,nan
313,41.236,nan,nan
314,41.368,nan,nan
315,41.499,nan,nan
316,41.631,nan,nan
317,41.763,nan,nan
318,41.895,nan,nan
319,42.026,nan,nan
320,42.158,nan,nan
321,42.29,nan,nan
322,42.422,nan,nan
323,42.553,nan,nan
324,42.685,nan,nan
325,42.817,nan,nan
326,42.949,nan,nan
327,43.08,nan,nan
328,43.212,nan,nan
329,43.344,nan,nan
330,43.476,nan,nan
331,43.607,nan,nan
332,43.739,nan,nan
333,43.871,nan,nan
334,44.003,nan,nan
335,44.134,nan,nan
336,44.266,nan,nan
337,44.398,nan,nan
338,44.53,nan,nan
339,44.661,nan,nan
340,44.793,nan,nan
341,44.925,nan,nan
342,45.057,nan,nan
343,45.188,nan,nan
344,45.32,nan,nan
